id,name,limit_type,service_type,card_type,place_type,value
1,Limit 1,Перевод,СБОЛ,Дебетовая,Банк,100000
2,Limit 2,Перевод,СБОЛ,Дебетовая,Банкомат,50000
3,Limit 3,Перевод,СБОЛ,Кредитная,Банк,75000
4,Limit 4,Перевод,СБОЛ,Кредитная,Банкомат,40000
5,Limit 5,Перевод,СБП,Дебетовая,Банк,100000
6,Limit 6,Перевод,СБП,Дебетовая,Банкомат,50000
7,Limit 7,Перевод,СБП,Кредитная,Банк,75000
8,Limit 8,Перевод,СБП,Кредитная,Банкомат,40000
9,Limit 9,Платеж,СБОЛ,Дебетовая,Банк,100000
10,Limit 10,Платеж,СБОЛ,Дебетовая,Банкомат,50000
11,Limit 11,Платеж,СБОЛ,Кредитная,Банк,75000
12,Limit 12,Платеж,СБОЛ,Кредитная,Банкомат,40000
13,Limit 13,Платеж,СБП,Дебетовая,Банк,100000
14,Limit 14,Платеж,СБП,Дебетовая,Банкомат,50000
15,Limit 15,Платеж,СБП,Кредитная,Банк,75000
16,Limit 16,Платеж,СБП,Кредитная,Банкомат,40000
17,Limit 17,Снятие,СБОЛ,Дебетовая,Банк,0
18,Limit 18,Снятие,СБОЛ,Дебетовая,Банкомат,0
19,Limit 19,Снятие,СБОЛ,Кредитная,Банк,0
20,Limit 20,Снятие,СБОЛ,Кредитная,Банкомат,0
21,Limit 21,Снятие,СБП,Дебетовая,Банк,0
22,Limit 22,Снятие,СБП,Дебетовая,Банкомат,0
23,Limit 23,Снятие,СБП,Кредитная,Банк,0
24,Limit 24,Снятие,СБП,Кредитная,Банкомат,0
